Aktivitetstype,Dato,Favoritt,Tittel,Avstand,Kalorier,Tid,Gjennomsnittlig puls,Makspuls,Aerob treningseffekt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Gjennomsnittlig tempo,Beste tempo,Total stigning,Totalt fall,Gjennomsnittlig skrittlengde,Gjennomsnittlig vertikalt forholdstall,Gjennomsnittlig vertikal oscillasjon,Gjennomsnittlig tid med bakkekontakt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Training Stress Score®,Gjennomsnittlig kraft,Maksimal kraft,Vanskelighetsgrad,Flyt,Totalt antall tak,Gjennomsnittlig Swolf,Gjennomsnittlig tempo for tak,Totalt antall repetisjoner,Totalt antall sett,Dykketid,Minimumstemperatur,Overflateintervall,Dekompresjon,Beste rundetid,Antall runder,Makstemperatur,Tid i bevegelse,Medgått tid,Minste høyde,Maksimal høyde
Styrketrening,2022-07-11 16:47:59,false,"Styrke","0.00","384","01:32:15","92","120","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","14","1","0:00","26.0","0:00","Nei","01:32:15.18.6","1","0.0","01:32:15","01:32:15","--","--"
Terrengløp,2022-07-10 16:46:16,false,"Elverum Terrengløp","11.00","837","01:23:15","157","187","4.5","141","241","7:34","4:15","555","551","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Nei","04:36.53.3","11","0.0","01:22:46","01:35:22","206","760"
Styrketrening,2022-07-09 20:05:22,false,"Styrke","0.00","150","00:41:57","86","106","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","31","4","0:00","26.0","0:00","Nei","41:56.77.3","1","0.0","00:36:16","00:41:57","--","--"
Løping,2022-07-08 15:00:12,false,"Torsby Løping","7.50","614","00:44:48","154","180","4.2","163","218","5:58","4:17","134","130","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","Nei","02:28.68.2","8","0.0","00:44:03","00:48:09","234","361"
Styrketrening,2022-07-05 20:25:01,false,"Styrke","0.00","151","00:39:09","87","103","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","9","1","0:00","26.0","0:00","Nei","39:08.97.8","1","0.0","00:39:09","00:39:09","--","--"
Styrketrening,2022-07-04 16:31:29,false,"Styrke","0.00","344","01:04:23","102","128","0.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","11","1","0:00","22.0","0:00","Nei","01:04:22.74","1","0.0","01:04:23","01:04:23","--","--"
Løping,2022-07-03 21:15:54,false,"Elverum Løping","3.50","244","00:18:58","148","172","3.1","167","178","5:25","4:50","8","9","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Nei","02:38.74.4","4","0.0","00:18:34","00:21:16","209","217"
Styrketrening,2022-07-03 13:22:29,false,"Styrke","0.00","141","00:37:19","87","131","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","10","1","0:00","26.0","0:00","Nei","37:19.23.7","1","0.0","00:37:19","00:37:19","--","--"
Styrketrening,2022-07-01 12:58:48,false,"Styrke","0.00","251","00:56:39","94","135","0.4","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","24.0","0:00","Nei","56:39.40.6","1","0.0","00:56:39","00:56:39","--","--"
Styrketrening,2022-06-30 21:08:00,false,"Styrke","0.00","219","00:40:11","103","126","0.5","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","18","1","0:00","29.0","0:00","Nei","40:10.51.6","1","0.0","00:40:11","00:40:11","--","--"
